string2 0,empty 1,empty 2,string2 3,string2 4,empty 5,int32 6,int32 7,string2 8,int32 9,string2 10,int32 11,string2 12,int32 13
"char_BANCHOLEOMON_BIG",,,"chr851","1049",,0,0,"yma011",0,"mpc049",0,"",0
"char_OMEGAMON_BEMERCIFUL",,,"chr847","1088",,0,0,"mmb002",0,"mpc847",0,"",0
"char_OMEGAMON:MERCIFUL MODE",,,"chr448","1448",,0,0,"mmb002",0,"mpc448",0,"",0
"char_OMEGAMON:MERCIFUL MODE_BIG",,,"chr858","1448",,0,0,"mmb002",0,"mpc448",0,"",0
"char_PARALLELMON_SMALL",,,"chr873","1449",,0,0,"ymb003",0,"mpc449",0,"",0
"char_BANCHOSTINGMON",,,"chr485","1485",,0,0,"ymb002",0,"mpc485",0,"",0
"char_BANCHOSTINGMON_BIG",,,"chr852","1485",,0,0,"ymb002",0,"mpc485",0,"",0
"char_BANCHOLILIMON",,,"chr486","1486",,1,0,"yfb002",0,"mpc486",0,"",0
"char_BANCHOGOLEMON",,,"chr487","1487",,0,0,"yma007",0,"mpc487",0,"",0
"char_BANCHOGOLEMON_BIG",,,"chr853","1487",,0,0,"yma007",0,"mpc487",0,"",0
"char_BANCHOMAMEMON",,,"chr488","1488",,0,0,"cmc004",0,"mpc488",0,"",0
